Checkpoint,reference_2019_09_01,reference_2019_09_02,reference_2019_09_03,reference_2019_09_04,reference_2019_09_05,reference_2019_09_06,reference_2019_09_07,reference_2019_09_08,reference_2019_09_09,reference_2019_09_10,reference_2019_09_11,reference_2019_09_12,reference_2019_09_13,reference_2019_09_14,reference_2019_09_15,reference_2019_09_16,reference_2019_09_17,reference_2019_09_18,reference_2019_09_19,reference_2019_09_20,reference_2019_09_21,reference_2019_09_22,reference_2019_09_23,reference_2019_09_24,reference_2019_09_25,reference_2021_09_01,reference_2021_09_02,reference_2021_09_03,reference_2021_09_04,reference_2021_09_05,reference_2021_09_06,reference_2021_09_07,reference_2021_09_08,reference_2021_09_09,reference_2021_09_10,reference_2021_09_11,reference_2021_09_12,reference_2021_09_13,reference_2021_09_14,reference_2021_09_15,reference_2021_09_16,reference_2021_09_17,reference_2021_09_18,reference_2021_09_19,reference_2021_09_20,reference_2021_09_21,reference_2021_09_22,reference_2021_09_23,reference_2021_09_24,reference_2021_09_25,reference_2022_09_01,reference_2022_09_02,reference_2022_09_03,reference_2022_09_04,reference_2022_09_05,reference_2022_09_06,reference_2022_09_07,reference_2022_09_08,reference_2022_09_09,reference_2022_09_10,reference_2022_09_11,reference_2022_09_12,reference_2022_09_13,reference_2022_09_14,reference_2022_09_15,reference_2022_09_16,reference_2022_09_17,reference_2022_09_18,reference_2022_09_19,reference_2022_09_20,reference_2022_09_21,reference_2022_09_22,reference_2022_09_23,min_msl_Ian,reference_2022_09_25
27,6.260546875,19.842265625,19.589453125,31.364765625,17.2828125,5.01484375,2.077421875,0.996484375,4.9628125,8.887421875,16.820859375,24.7334375,4.531328125,1.110859375,3.43078125,6.511328125,24.9615625,4.8053125,0.288515625,0.532109375,3.89203125,4.97765625,2.31140625,5.219765625,2.45046875,0.039140625,0.48953125,3.33484375,4.666953125,6.659765625,0.895390625,0.844296875,1.77515625,2.143359375,1.390546875,4.352265625,4.654296875,2.97234375,1.375,0.778671875,3.021953125,1.488984375,5.54484375,4.728203125,2.4196875,1.8528125,2.32125,1.290859375,0.261875,0.20984375,2.3228125,1.878203125,5.0221875,8.664921875,5.09453125,0.348671875,0.315234375,0.976484375,2.28625,6.540078125,1.631328125,2.098046875,1.437734375,0.908828125,2.325859375,7.743515625,11.314375,10.16703125,1.088203125,1.6134375,7.342265625,4.952734375,10.338125,14.06609375,23.43859375
28,2.514140625,14.938515625,10.73796875,9.731484375,6.100703125,5.504296875,0.210859375,2.5696875,4.09703125,8.155703125,16.049765625,22.7353125,0.2490625,4.4475,1.14765625,4.1446875,27.957109375,15.117265625,0.155859375,0.744296875,2.32,2.385703125,2.732734375,5.08578125,4.61875,4.337421875,2.10375,1.57515625,4.436953125,5.7365625,0.283828125,2.349609375,3.67015625,3.896015625,2.24578125,2.8434375,1.7034375,1.4715625,0.02625,1.48515625,4.719609375,5.233828125,4.342265625,2.15671875,0.0396875,0.047890625,1.1421875,3.84453125,1.302109375,0.45921875,3.250859375,3.86765625,2.408828125,7.836015625,5.524765625,0.53390625,1.785625,1.070078125,4.745234375,4.299140625,0.714765625,1.10015625,0.2503125,1.439921875,0.6875,5.735859375,9.742890625,8.728359375,1.669921875,6.857265625,8.238515625,0.796171875,24.95125,13.955390625,22.746796875
29,3.9628125,14.228046875,20.13359375,19.526640625,7.8975,9.47015625,0.24890625,0.476875,4.14296875,7.764140625,15.5684375,22.826875,3.7875,0.436953125,1.290078125,3.901640625,22.533984375,2.1359375,0.393984375,1.0165625,2.064296875,2.665078125,0.21359375,3.633515625,2.676328125,3.339453125,2.9959375,0.703203125,4.12140625,5.47625,1.943125,2.549609375,3.995703125,5.07203125,3.02671875,2.278984375,2.466796875,0.214296875,0.7134375,1.63796875,4.247890625,5.535390625,4.121640625,2.055546875,0.343515625,0.21296875,1.483046875,3.7578125,1.208984375,0.148046875,3.74671875,3.836875,1.999609375,7.778671875,4.6334375,0.52828125,1.40046875,0.8684375,5.389453125,5.761640625,2.070859375,0.1440625,0.232265625,1.275390625,0.792890625,5.576484375,8.95890625,7.592265625,1.648203125,2.773828125,14.79421875,0.8178125,24.250234375,13.265,22.941328125
30,8.427578125,3.532890625,7.085703125,7.975703125,5.67140625,5.854453125,0.03328125,1.9871875,5.25640625,9.683671875,17.744453125,25.26,2.55875,2.10453125,2.290390625,2.641953125,4.911015625,16.390625,0.578671875,2.221875,4.692890625,5.413046875,0.007109375,11.250703125,13.03265625,0.21015625,0.641328125,2.54640625,5.738359375,7.76890625,1.660390625,0.021640625,2.18546875,2.43828125,1.40515625,6.43203125,4.603203125,2.386015625,1.56203125,1.3184375,0.36078125,0.847890625,6.6696875,4.4365625,2.543828125,2.001015625,2.508359375,1.649921875,0.241796875,2.04953125,1.1878125,1.215234375,5.22640625,9.255,6.159921875,0.936796875,1.859140625,0.20953125,3.2684375,2.996640625,0.79796875,2.13171875,1.1090625,0.33484375,2.3284375,8.33078125,12.351484375,10.102890625,0.94125,0.237734375,13.080625,11.447578125,21.083046875,0.41203125,24.1603125
31,7.566640625,13.56125,8.781640625,9.55203125,1.701484375,2.76328125,0.21671875,0.3146875,4.078515625,9.005390625,16.806640625,24.746796875,3.0459375,3.74046875,1.797890625,6.8078125,18.84953125,0.296640625,0.3571875,0.83296875,2.309921875,3.870078125,0.52234375,3.636875,5.171328125,5.34859375,2.945625,1.234765625,4.2984375,4.506953125,1.995703125,4.16859375,5.5975,5.935234375,1.7853125,5.095,4.101171875,1.36390625,0.69578125,6.828125,3.3525,3.273671875,5.53125,2.741796875,1.101328125,1.40703125,0.25859375,2.08515625,1.65921875,0.400625,5.386328125,2.946328125,2.665234375,7.8896875,4.99171875,1.100546875,0.666171875,0.56890625,6.58875,6.833125,3.624375,0.81546875,0.25765625,1.262734375,1.2084375,6.704609375,9.20671875,8.569296875,1.3509375,1.987734375,0.589296875,2.479375,23.46609375,11.912421875,23.577421875
32,11.37890625,17.394296875,13.09515625,33.0425,10.5178125,9.3734375,2.3328125,2.285234375,2.25125,8.03125,15.489921875,22.603515625,2.39515625,4.578046875,1.8725,3.633671875,10.1625,34.476953125,1.395234375,0.0271875,2.57640625,2.6753125,1.834453125,6.2196875,6.792109375,3.397109375,2.9075,0.237421875,3.40859375,4.86234375,1.761171875,3.733046875,4.753359375,4.688828125,0.0565625,4.075078125,1.957890625,1.293046875,0.8309375,2.900703125,3.959375,2.882421875,4.2775,2.333984375,0.653671875,0.283046875,0.50703125,3.5353125,1.462578125,0.79671875,2.98796875,4.803203125,1.1440625,6.886640625,4.368125,0.450234375,0.71828125,0.398828125,5.65625,4.696796875,1.453046875,0.25359375,0.411875,1.840703125,1.292109375,5.94125,9.068828125,7.02203125,1.091328125,4.66625,4.689609375,2.852890625,23.0671875,3.80046875,22.74671875
33,3.34375,18.438828125,17.573125,20.443828125,13.93984375,9.2178125,3.7365625,1.345546875,2.159609375,7.452109375,14.730546875,22.964140625,2.3134375,4.16109375,0.14609375,6.46828125,22.8284375,10.640703125,1.314453125,0.665234375,0.05421875,1.165390625,2.89640625,6.529140625,5.850078125,2.9615625,1.673828125,0.320703125,2.33328125,3.8725,2.214375,4.4296875,9.30234375,5.870859375,1.918515625,2.82,1.33078125,2.37171875,1.719453125,1.790234375,4.357421875,5.12828125,2.742265625,1.019921875,0.187109375,0.124453125,1.580703125,5.33234375,3.005078125,0.5453125,4.1878125,5.42703125,0.901171875,6.448828125,4.86296875,1.051171875,1.653515625,1.683671875,5.343359375,7.183359375,3.68625,1.238515625,1.089375,2.027890625,0.347578125,4.974375,8.253828125,6.545,1.33328125,1.51515625,3.94734375,0.8190625,22.6028125,4.770625,22.535859375
34,7.214453125,26.316640625,13.980546875,20.368203125,8.58390625,8.152890625,3.20015625,1.910625,3.587421875,7.402265625,15.07515625,20.56171875,1.442890625,6.13046875,1.162265625,4.11703125,33.560625,48.933671875,2.133125,1.392578125,0.44515625,0.980234375,2.9725,3.288359375,4.663125,4.4171875,3.28640625,0.67015625,1.91921875,4.439375,2.09625,4.534921875,6.72109375,6.132734375,3.062421875,2.308671875,1.15015625,1.572578125,2.004609375,3.80421875,6.041875,6.00140625,3.077734375,1.17,0.4871875,1.755703125,1.908828125,3.976875,2.34375,0.132109375,4.816015625,6.65515625,0.79671875,6.167578125,3.8246875,0.9565625,2.059921875,2.07046875,6.722109375,7.7528125,3.83140625,1.208359375,1.654296875,2.83484375,0.89109375,3.76109375,7.627265625,5.84828125,3.454140625,6.473828125,9.110390625,1.33703125,22.43140625,11.840234375,21.920546875
35,4.99625,16.82265625,14.585234375,14.110703125,18.4928125,14.408515625,6.530390625,1.689765625,3.703515625,8.673984375,16.161171875,24.126875,5.54234375,2.4575,2.609609375,6.66734375,16.156953125,27.569921875,7.243984375,0.5284375,2.133203125,3.074453125,0.369921875,1.810078125,3.130078125,1.9275,4.09703125,0.1528125,2.092109375,4.31265625,1.874296875,3.836484375,6.019921875,4.18375,1.0796875,3.101796875,2.56921875,1.9575,0.40390625,0.586640625,3.74703125,2.9496875,3.0221875,1.046328125,0.8684375,0.3965625,1.247578125,3.8021875,1.693046875,0.43171875,3.098359375,4.49390625,1.196640625,7.589453125,4.758046875,0.9546875,1.555546875,0.602421875,4.436015625,5.91234375,4.000703125,1.36015625,1.528125,1.770390625,0.648359375,4.88703125,8.718828125,7.272578125,0.30640625,0.0334375,1.29578125,0.3903125,22.065859375,10.369453125,22.8859375
36,1.899296875,10.30125,12.06859375,21.733515625,10.676875,5.767890625,2.17765625,0.459375,5.8934375,9.723671875,16.714453125,19.819453125,5.305,15.3525,1.34421875,4.387734375,12.60796875,42.15203125,1.00359375,0.96375,2.45453125,1.690703125,3.218046875,4.063359375,4.975,2.103203125,1.65546875,1.34390625,5.371875,6.468671875,1.00453125,1.438125,4.209453125,4.7853125,0.38421875,5.3528125,3.9953125,0.818671875,1.116328125,0.51046875,2.943515625,0.917734375,5.5575,4.603203125,1.90296875,1.7875,0.82890625,1.32828125,0.628828125,0.524921875,2.04421875,2.104140625,3.247734375,7.64328125,3.741328125,0.71828125,2.042421875,1.231953125,3.970546875,2.00171875,1.004140625,2.948203125,1.3703125,0.315078125,2.65328125,7.5946875,12.04078125,9.5440625,0.963125,5.974140625,8.036640625,1.706484375,24.201875,29.4928125,24.169609375
37,3.592578125,14.648984375,15.485546875,14.615390625,2.79328125,3.01890625,1.13875,0.532734375,4.18328125,8.71015625,17.132265625,24.008203125,3.8134375,2.62328125,2.815625,3.24703125,21.7221875,36.865546875,7.208046875,1.894296875,4.32734375,4.158671875,0.4190625,4.681484375,9.0671875,2.2434375,0.64859375,2.88875,5.0434375,6.263515625,0.72609375,1.133984375,2.192890625,2.727578125,1.025390625,5.7059375,4.433125,1.32328125,0.19015625,0.44328125,0.913125,0.037578125,6.286640625,4.0625,2.242890625,1.546796875,1.556640625,2.107109375,0.93,0.74890625,1.3003125,2.518359375,3.531796875,8.4725,5.523515625,1.194609375,0.421015625,0.396484375,3.968828125,4.305078125,0.845234375,1.663515625,0.449765625,0.13359375,2.000859375,7.41390625,11.248125,9.108515625,0.155703125,1.058828125,4.483828125,2.58265625,23.770390625,21.04671875,23.45734375
38,3.088046875,15.633203125,27.09546875,30.188125,24.6609375,8.547734375,4.26875,0.65953125,4.7996875,8.69546875,16.477109375,22.643515625,2.163671875,6.428984375,0.72578125,9.011953125,39.02125,15.49640625,0.30171875,0.199453125,1.99390625,1.01609375,1.72046875,3.3509375,5.3096875,2.728359375,1.3528125,1.378671875,4.23140625,6.0246875,2.238828125,3.5134375,5.98484375,4.23734375,0.91140625,3.476171875,1.2484375,1.40609375,0.984453125,3.878125,5.340625,3.70984375,4.4328125,2.62078125,0.751640625,0.718671875,0.441015625,3.164453125,0.495703125,0.5015625,2.24203125,3.484296875,1.93671875,7.623203125,5.0490625,0.385703125,0.821015625,0.2753125,6.5296875,6.076171875,2.47109375,0.01734375,0.563828125,1.4346875,1.060703125,5.596015625,9.56375,7.92390625,1.495546875,1.45890625,3.6209375,1.90625,22.643125,19.52671875,23.331328125
39,11.721171875,31.98984375,29.31484375,16.247734375,11.34953125,7.073828125,1.0903125,0.98671875,3.231640625,6.919140625,14.367734375,16.853515625,3.28515625,8.635703125,1.441796875,3.0584375,34.69828125,7.5375,0.80859375,1.309921875,0.514140625,0.23953125,3.5778125,5.168671875,6.78546875,5.876171875,2.8065625,0.00875,3.052890625,4.567109375,1.92015625,3.658046875,6.03375,5.72125,1.7396875,0.086640625,1.0284375,2.177109375,1.527109375,2.913828125,7.276015625,4.390234375,3.515859375,1.79546875,0.39234375,0.555546875,3.2784375,5.731796875,2.598125,0.692421875,4.129765625,5.30109375,0.31390625,6.240625,3.752109375,0.74125,1.926015625,2.164375,6.116953125,5.76671875,3.5875,1.196640625,1.58515625,2.919921875,1.233671875,3.6678125,7.90109375,5.7090625,2.32640625,2.853671875,7.9071875,2.207734375,22.825234375,25.625859375,21.854921875
40,6.544453125,14.861953125,16.621484375,14.51765625,8.28265625,7.153359375,4.0459375,0.18609375,3.39390625,7.92171875,16.328671875,22.800546875,1.2990625,7.029921875,0.14890625,6.21890625,28.056953125,38.436171875,0.3196875,0.289609375,1.90140625,2.464375,1.873828125,6.09953125,5.546015625,2.888515625,0.549453125,1.500546875,4.416796875,5.505,0.731328125,2.53578125,4.538359375,3.615625,0.32234375,4.0125,1.903359375,0.981484375,0.66421875,1.372578125,2.433984375,1.979921875,4.098984375,2.475703125,1.121171875,0.821875,0.847734375,3.385078125,1.465859375,0.236796875,2.770625,3.8196875,1.297578125,7.64015625,5.63921875,0.00125,0.544921875,1.814921875,4.97765625,6.267421875,2.631796875,0.21265625,0.395703125,1.23875,0.34015625,5.593671875,10.253828125,8.160078125,0.15265625,1.571328125,5.136640625,1.098984375,23.02859375,29.927890625,22.99078125
41,4.20671875,6.64328125,13.536484375,24.848046875,20.154765625,9.219296875,3.884921875,1.524765625,3.48171875,8.356796875,16.215703125,21.3153125,2.053671875,7.823125,0.577265625,5.8321875,32.08875,43.874609375,0.7565625,1.20203125,2.90078125,3.192421875,0.04546875,5.829296875,4.6028125,3.3778125,1.665078125,1.02375,4.988359375,6.210546875,0.675078125,1.752109375,3.447734375,5.019609375,1.088828125,5.55765625,4.144375,1.171953125,0.262265625,0.840078125,2.501796875,1.094921875,4.409453125,3.087421875,1.74984375,1.7859375,0.0015625,2.772109375,0.44796875,0.411796875,2.746171875,2.53375,2.7203125,8.20890625,4.353828125,0.767421875,0.732421875,1.50015625,5.301796875,7.12,2.55578125,0.938125,0.35640625,0.22,1.98875,6.915546875,10.889609375,9.51734375,0.36328125,0.839453125,10.253828125,0.043515625,22.472421875,20.878828125,23.988984375
42,9.29828125,7.888828125,13.140234375,25.3384375,22.088046875,6.174921875,2.057578125,0.11375,3.991484375,8.462265625,16.330546875,23.88515625,4.048671875,1.5803125,0.340546875,6.213984375,38.950546875,9.408828125,0.597578125,0.538125,2.82703125,3.134453125,1.650625,3.02140625,3.032265625,4.06953125,3.15234375,0.977265625,4.534296875,6.1284375,0.26796875,2.106796875,3.852109375,3.867578125,0.70921875,5.2646875,3.751171875,0.61015625,0.20953125,0.985390625,7.52,4.427578125,3.773046875,3.011796875,1.640625,0.606796875,0.925625,2.200234375,0.984765625,0.507265625,3.94640625,3.374296875,2.360859375,8.40015625,5.81046875,0.55171875,1.021640625,0.87015625,4.0628125,5.524140625,2.8259375,0.429765625,1.1878125,1.510625,0.24171875,5.411328125,9.91171875,8.150703125,0.58109375,0.432578125,2.285234375,2.73296875,26.46171875,7.564765625,23.65515625
43,5.751796875,15.7775,21.7684375,23.695078125,25.66359375,9.581328125,3.9090625,0.073515625,3.74921875,8.71375,16.599375,23.428671875,3.353671875,3.543671875,1.380859375,3.436796875,28.40578125,10.20921875,0.576171875,1.27140625,2.561015625,2.031171875,4.225078125,6.74609375,2.678203125,2.072578125,1.969375,0.987109375,3.93296875,5.91046875,0.383203125,2.481953125,3.076015625,3.459921875,0.263671875,5.65375,3.83296875,0.286328125,0.10015625,0.84515625,2.439296875,1.149453125,4.308671875,2.364375,1.438671875,0.29765625,0.3521875,1.55125,0.98578125,1.155390625,2.232421875,2.481796875,3.09734375,8.82625,5.703046875,1.000390625,0.373359375,0.721015625,3.727890625,4.545390625,1.18921875,0.6753125,0.15359375,0.523828125,1.659765625,6.987265625,10.670078125,8.162578125,0.792890625,1.38703125,7.020234375,2.40328125,26.155390625,18.08546875,23.560703125
44,1.935625,14.277578125,17.48328125,19.4825,21.797578125,23.3340625,5.338046875,0.999765625,3.533125,7.59703125,15.13015625,19.4596875,1.92015625,9.040703125,1.92109375,12.781953125,10.70234375,1.0359375,0.749453125,0.275546875,2.46734375,2.828828125,1.146484375,2.941484375,3.007734375,4.455859375,2.185,0.73203125,4.0125,4.9215625,1.958359375,3.143125,4.46484375,5.5853125,2.3684375,4.535,3.186953125,0.667578125,0.18078125,1.737421875,6.002734375,4.13703125,3.96375,2.115390625,0.5846875,0.312734375,1.60375,4.273515625,1.4403125,0.748046875,3.308671875,3.6834375,1.03203125,7.028359375,3.8471875,0.4271875,1.4709375,3.177734375,6.43140625,8.710625,4.12,0.309921875,0.61765625,1.47421875,0.89421875,5.95734375,9.978515625,8.241015625,0.5553125,1.077421875,5.565,2.936796875,23.493359375,32.461484375,22.322265625
45,1.248046875,15.40875,22.818828125,28.26828125,11.8365625,8.986640625,3.6959375,0.0746875,3.8515625,7.38796875,15.368125,21.054609375,2.05375,9.26984375,1.273828125,14.236875,45.8815625,3.16703125,0.13109375,0.26796875,2.127265625,2.081953125,1.2271875,4.0184375,3.62890625,4.19609375,2.538046875,0.662578125,3.24421875,4.7190625,0.98546875,3.0121875,5.940078125,5.333359375,1.04125,4.181328125,2.66640625,0.189921875,1.939609375,3.349375,7.814453125,6.83828125,2.535,1.131953125,0.01359375,1.204765625,1.179296875,3.2021875,1.05734375,0.412734375,4.687421875,5.657421875,0.433203125,6.799453125,4.085390625,0.580546875,1.63703125,0.566015625,5.149296875,6.081953125,3.0103125,0.70828125,1.616640625,1.963671875,0.14625,5.196640625,8.935234375,6.91453125,0.944921875,0.97109375,4.819921875,2.37328125,25.42515625,35.386484375,22.23234375
46,3.217578125,15.84546875,17.225390625,17.815625,10.01375,9.95109375,2.636328125,0.687890625,3.129921875,7.546171875,14.88609375,20.144453125,1.18078125,6.84171875,5.2825,12.28890625,40.305625,2.8071875,0.273125,0.053046875,1.7465625,0.5696875,1.756484375,4.51703125,5.079296875,3.053515625,2.578125,0.16359375,2.725859375,4.514765625,1.373046875,3.567265625,5.64453125,5.0109375,2.21921875,2.693203125,0.31328125,1.9565625,1.5053125,2.53859375,4.538671875,3.812734375,2.606328125,1.68140625,0.11453125,0.808671875,2.247890625,4.0484375,1.50984375,0.23875,3.812265625,5.209375,1.00390625,7.1696875,4.2153125,0.996796875,1.72078125,1.358671875,6.78515625,6.75921875,4.43953125,1.580703125,1.712265625,2.2225,0.0253125,4.77640625,8.401015625,6.3346875,1.215390625,2.18515625,6.6590625,0.478515625,24.8315625,32.46984375,22.22625
47,6.36875,6.45953125,8.93671875,6.095390625,6.49640625,8.825859375,1.466171875,0.50859375,3.93703125,8.37875,16.169765625,20.604609375,0.796015625,4.63546875,2.002578125,3.5740625,26.091328125,2.199921875,0.208203125,0.2553125,1.37484375,2.349140625,0.82734375,3.66390625,6.898203125,3.992578125,1.475390625,1.085546875,3.119296875,5.057578125,2.04609375,4.202578125,9.138125,4.330859375,1.124375,3.74109375,1.717421875,1.542890625,0.99109375,5.6809375,8.2625,3.92609375,4.0353125,2.645625,1.06890625,0.36890625,0.90671875,2.90484375,0.426171875,0.061953125,3.134140625,4.26734375,1.960390625,7.191015625,4.877265625,0.073828125,1.42359375,0.904609375,5.00953125,4.63515625,2.494140625,0.207734375,0.7128125,1.424765625,0.17375,5.10875,9.107421875,7.760546875,0.51421875,1.192890625,1.807734375,3.19640625,23.82609375,11.91578125,23.438125
48,3.722421875,10.364140625,12.4675,17.6490625,9.12453125,4.472734375,2.3078125,0.46734375,3.28734375,8.039453125,15.53015625,22.413671875,0.693125,5.93953125,0.078359375,5.031875,35.95,7.428984375,0.340546875,0.920078125,3.333125,1.2003125,2.514765625,4.53828125,4.211171875,4.624375,1.923515625,1.123125,4.104375,5.693671875,1.40828125,2.68296875,4.1521875,4.616328125,0.703984375,2.80828125,3.128203125,0.1065625,0.35796875,2.47734375,3.781328125,2.02078125,4.056875,2.649296875,1.012265625,0.5634375,0.391953125,3.0834375,0.221875,0.0553125,2.614453125,3.48296875,2.06453125,7.955546875,5.490859375,0.1884375,1.03328125,1.581015625,4.958125,5.79078125,2.820234375,0.22421875,0.668359375,0.826796875,0.9771875,6.306484375,9.655078125,7.58640625,0.414375,0.38546875,2.837421875,3.52515625,23.431171875,26.286015625,22.5403125
49,3.388125,8.920703125,11.9175,12.920078125,8.2665625,6.557265625,1.98375,0.73546875,2.960859375,8.15703125,16.050703125,21.288671875,0.82484375,6.18640625,0.541171875,8.714453125,36.98640625,4.689765625,0.343125,0.7096875,3.3484375,2.30359375,0.599296875,2.488359375,3.564375,3.7553125,1.7584375,1.290625,4.078515625,5.789609375,0.335,1.50046875,3.466484375,4.834296875,1.083828125,4.84671875,4.131171875,0.785078125,0.0809375,1.5453125,2.901484375,1.79421875,4.75234375,3.2315625,1.45265625,0.801875,1.44390625,4.361796875,1.406796875,0.042421875,2.62421875,2.601328125,3.676328125,8.194765625,4.971171875,0.05859375,1.625078125,1.23390625,5.228515625,5.93078125,2.550390625,0.035703125,0.356015625,1.00140625,1.184609375,6.536875,10.315,8.234765625,0.064140625,0.734375,6.0903125,2.01625,25.26515625,24.54,23.261328125
50,6.4584375,10.623515625,13.763359375,12.4721875,24.75421875,11.91828125,2.478828125,1.725234375,3.251875,7.95078125,15.344375,20.3884375,1.863984375,6.209765625,1.1165625,6.2015625,12.754609375,1.36046875,0.204453125,0.3084375,2.271015625,0.69890625,2.54671875,5.239296875,5.603828125,4.827265625,2.19609375,0.62984375,3.631328125,4.999921875,1.851953125,2.959140625,6.441171875,5.99734375,1.796171875,3.560703125,0.945234375,1.86703125,1.575234375,3.495625,5.548515625,4.763203125,2.59625,2.1975,0.5025,0.255390625,1.51375,3.8096875,0.765625,1.073046875,4.153515625,4.428203125,1.4809375,7.6975,4.609765625,0.4534375,2.0534375,2.73109375,5.33171875,7.0609375,3.966640625,1.286640625,0.96234375,1.455078125,0.10015625,5.166875,9.280390625,7.08640625,1.250078125,1.640546875,3.9090625,3.35875,22.850546875,8.786953125,22.775390625
51,1.316953125,14.51828125,10.956328125,9.968359375,14.303515625,10.8125,3.112109375,0.142578125,3.86,8.248984375,16.044921875,21.821953125,0.618828125,7.0253125,5.76140625,20.097578125,23.570703125,1.246875,0.042265625,1.125,3.09703125,1.493203125,2.23875,3.066875,4.2296875,4.043125,2.023359375,0.941015625,4.134375,5.82453125,0.999296875,2.16265625,5.246484375,4.25828125,0.844140625,5.440703125,3.92234375,0.322109375,0.03453125,0.9740625,4.02375,2.15375,3.33859375,2.61,1.1209375,0.679296875,0.995546875,3.60546875,0.689765625,0.02921875,3.190390625,3.485078125,1.43546875,8.05515625,5.40734375,0.06390625,0.85453125,0.76578125,5.287109375,5.19734375,2.2440625,0.130234375,0.619375,0.80421875,1.528671875,6.34796875,10.313515625,8.70453125,0.3771875,0.40171875,2.4759375,3.407109375,25.326328125,25.862421875,23.32640625
52,1.64796875,18.210078125,16.080078125,18.11171875,7.42828125,7.145859375,3.67734375,1.295703125,3.02484375,8.317265625,16.368125,22.04203125,0.627421875,8.420390625,0.02015625,5.8075,36.997734375,14.383828125,0.30953125,1.65515625,4.438671875,3.268046875,0.072734375,5.798203125,3.731328125,3.36125,1.841796875,1.06796875,4.2928125,6.056953125,0.719140625,2.329375,3.858203125,4.138203125,0.9515625,4.436796875,3.724453125,0.078203125,0.667734375,1.56359375,2.70984375,1.150546875,5.242578125,3.498671875,1.64390625,1.035390625,0.50703125,2.81671875,0.011640625,0.52515625,2.33796875,3.473125,2.271015625,8.547109375,5.29484375,0.91171875,0.609140625,0.665625,4.349609375,5.456953125,1.78578125,1.08984375,0.509375,0.17328125,1.967421875,7.145859375,10.904921875,8.682890625,0.246328125,0.836015625,6.606171875,0.967734375,23.33,29.348828125,23.358203125
53,2.415,14.99953125,11.82203125,18.831484375,23.604296875,12.28375,2.623984375,0.57703125,3.488671875,8.191875,15.72703125,18.531953125,3.967578125,6.405859375,0.321015625,7.442890625,38.298515625,2.466875,0.45296875,0.140390625,2.1071875,0.93984375,4.01203125,4.008125,6.05109375,5.214609375,1.940703125,0.800703125,3.84515625,5.08703125,1.21171875,3.6478125,7.2409375,4.646875,1.5478125,4.88578125,3.6428125,0.4725,0.12703125,2.188203125,5.545390625,2.19734375,4.48015625,3.156484375,1.115703125,0.71796875,1.786640625,3.615390625,0.468984375,0.137265625,3.241875,3.718671875,0.9415625,7.714765625,4.898203125,0.112109375,0.805546875,1.610625,6.35609375,6.94515625,2.8046875,0.08609375,1.325625,1.29328125,1.015703125,6.157109375,9.84125,7.456640625,1.25609375,1.5115625,5.367578125,3.509375,24.4309375,30.5628125,22.66015625
54,5.050390625,15.941640625,14.987890625,16.785859375,9.5078125,10.85609375,1.9228125,1.541875,2.895234375,7.525,14.683046875,18.9078125,0.853984375,7.9134375,2.045078125,9.03453125,15.84203125,2.14125,0.17140625,0.125546875,2.114140625,1.0653125,1.9703125,3.733359375,3.266953125,5.34953125,2.488125,0.279921875,3.098046875,4.7275,1.8990625,3.259453125,7.6240625,5.0840625,2.17546875,4.9315625,3.38421875,0.415546875,0.928515625,2.805,4.7196875,2.994609375,3.51640625,2.759609375,0.77828125,0.294296875,1.23171875,3.782265625,0.848046875,0.48125,3.71671875,4.053203125,0.88515625,7.570234375,4.74328125,0.2290625,2.24296875,2.505625,5.5759375,7.570546875,2.979375,0.4196875,1.317734375,1.506640625,0.600625,5.756484375,9.505390625,7.925078125,1.026171875,1.39296875,4.221640625,3.291640625,24.3934375,34.25234375,22.568203125
55,0.911875,13.831875,14.650703125,19.616171875,13.599375,11.117890625,2.678671875,0.981875,2.7096875,7.6221875,15.491484375,20.73234375,1.192109375,4.227421875,2.179296875,11.611015625,17.66734375,0.55765625,0.218828125,0.10796875,2.53796875,0.708828125,2.73296875,3.35125,5.725625,4.889140625,3.10328125,0.34109375,2.849921875,4.18609375,1.911484375,4.233828125,7.2678125,5.0821875,1.516875,3.42765625,1.369296875,0.994453125,0.721875,2.480703125,4.296484375,3.61703125,2.96859375,1.670078125,0.413515625,0.153046875,1.576953125,4.15890625,2.01671875,0.52765625,3.4625,4.145078125,1.357265625,7.389921875,4.625703125,0.86859375,2.45015625,2.059453125,5.7028125,7.250234375,3.523515625,0.734921875,1.485546875,2.061015625,0.116796875,5.625703125,9.281328125,7.435078125,0.740234375,0.90015625,5.1453125,0.69265625,23.736953125,35.302890625,22.851953125
56,3.826171875,15.018203125,16.316796875,12.71734375,13.152734375,7.779765625,3.727578125,1.13296875,3.168671875,8.417734375,16.1115625,21.176328125,1.114921875,5.380390625,3.034921875,7.821328125,40.981875,8.65265625,0.644765625,1.477421875,3.0746875,1.68671875,1.230546875,2.68984375,3.594609375,4.220546875,2.67765625,1.22359375,3.51921875,5.64984375,0.9884375,2.6103125,5.915859375,3.909140625,0.74609375,3.831875,3.5971875,0.068828125,0.40734375,1.888515625,3.3121875,1.97390625,3.822109375,2.704140625,0.998671875,0.4240625,1.429296875,3.12640625,0.488984375,0.404609375,2.28421875,2.97796875,2.477890625,8.339765625,4.958046875,0.16796875,0.911875,1.802265625,5.24375,6.645546875,2.00796875,0.311015625,0.0015625,0.559375,1.054921875,6.55515625,10.240234375,8.208359375,0.163359375,0.505078125,13.405,3.784921875,24.268125,28.92640625,23.1828125
