Checkpoint,reference_2019_09_01,reference_2019_09_02,reference_2019_09_03,reference_2019_09_04,reference_2019_09_05,reference_2019_09_06,reference_2019_09_07,reference_2019_09_08,reference_2019_09_09,reference_2019_09_10,reference_2019_09_11,reference_2019_09_12,reference_2019_09_13,reference_2019_09_14,reference_2019_09_15,reference_2019_09_16,reference_2019_09_17,reference_2019_09_18,reference_2019_09_19,reference_2019_09_20,reference_2019_09_21,reference_2019_09_22,reference_2019_09_23,reference_2019_09_24,reference_2019_09_25,reference_2021_09_01,reference_2021_09_02,reference_2021_09_03,reference_2021_09_04,reference_2021_09_05,reference_2021_09_06,reference_2021_09_07,reference_2021_09_08,reference_2021_09_09,reference_2021_09_10,reference_2021_09_11,reference_2021_09_12,reference_2021_09_13,reference_2021_09_14,reference_2021_09_15,reference_2021_09_16,reference_2021_09_17,reference_2021_09_18,reference_2021_09_19,reference_2021_09_20,reference_2021_09_21,reference_2021_09_22,reference_2021_09_23,reference_2021_09_24,reference_2021_09_25,reference_2022_09_01,reference_2022_09_02,reference_2022_09_03,reference_2022_09_04,reference_2022_09_05,reference_2022_09_06,reference_2022_09_07,reference_2022_09_08,reference_2022_09_09,reference_2022_09_10,reference_2022_09_11,reference_2022_09_12,reference_2022_09_13,reference_2022_09_14,reference_2022_09_15,reference_2022_09_16,reference_2022_09_17,reference_2022_09_18,reference_2022_09_19,reference_2022_09_20,reference_2022_09_21,reference_2022_09_22,reference_2022_09_23,min_msl_Ian,reference_2022_09_25
11,9.489453125,3.26265625,7.167265625,7.91890625,3.988125,2.0803125,0.274921875,2.911171875,1.544453125,6.053984375,13.146953125,21.853515625,3.097734375,2.71578125,2.325546875,2.295390625,14.365859375,5.97203125,2.4784375,0.16984375,2.603984375,4.331484375,0.93296875,4.33,5.278203125,6.942265625,3.73734375,0.437421875,4.656953125,4.698984375,2.86546875,4.962734375,5.659609375,5.3846875,1.774609375,1.91140625,1.280390625,1.671796875,0.005625,0.58953125,3.30875,2.549375,3.84890625,2.163046875,0.318515625,1.912265625,0.307578125,3.247421875,2.080859375,0.083828125,4.14453125,5.90296875,0.052421875,6.177734375,3.605703125,1.688125,2.37734375,3.172734375,6.77546875,5.67109375,2.895625,1.571015625,1.386171875,3.708359375,0.560859375,4.363125,9.5975,5.304296875,3.64828125,4.71828125,5.6303125,0.445703125,19.9071875,1.28265625,24.096171875
12,13.90265625,0.1659375,0.0296875,1.615,0.0815625,9.26578125,0.794375,1.106640625,4.3715625,8.2265625,17.598515625,27.338359375,4.64234375,3.09515625,5.01671875,1.414140625,0.598515625,12.195078125,1.5375,3.1728125,5.491640625,5.673515625,0.7340625,0.199296875,3.460390625,2.7890625,2.535625,2.6,5.5471875,7.88890625,1.12390625,1.412734375,3.285078125,1.9934375,1.668203125,6.872421875,4.368984375,1.2009375,1.83609375,2.470859375,0.015390625,2.078359375,7.8440625,5.89109375,3.618203125,3.456328125,1.639765625,0.331171875,0.2996875,1.840859375,1.01421875,0.298125,6.61890625,10.08609375,3.899453125,0.894140625,0.783828125,2.764609375,0.20015625,0.342265625,0.00234375,2.395078125,2.53109375,0.42140625,3.262421875,9.550234375,12.875625,5.622578125,0.2696875,1.189609375,9.651796875,17.30296875,23.942578125,3.423984375,26.963046875
13,11.610234375,3.080390625,6.871171875,16.68828125,10.317421875,14.858515625,1.650859375,2.468203125,3.936484375,7.63953125,15.168515625,23.13515625,2.210703125,9.469375,9.039921875,4.50203125,3.0015625,29.280859375,0.044453125,0.397578125,2.02125,1.151953125,6.10734375,1.751953125,4.2278125,0.085,0.92765625,0.8015625,4.039765625,5.74890625,0.93953125,1.66859375,3.452734375,4.18203125,0.34203125,5.430703125,3.23203125,0.06296875,0.28375,0.505,5.84515625,1.652734375,3.14265625,1.88359375,0.969765625,0.316953125,0.46171875,1.06484375,1.224921875,0.65453125,1.513046875,2.73140625,3.661015625,8.383125,5.38765625,0.260859375,1.481640625,1.293828125,4.563125,5.1240625,2.12859375,1.04921875,0.591015625,0.654453125,1.105546875,7.67578125,11.16765625,8.99171875,1.177890625,0.247578125,6.4140625,35.214609375,5.282109375,8.550703125,23.79890625
14,14.050625,30.336953125,24.182421875,28.13703125,6.12765625,11.110703125,0.09859375,3.033515625,5.376484375,8.167890625,14.889453125,25.680546875,3.66484375,4.37796875,1.58703125,6.581796875,35.923671875,5.890625,0.418125,1.923515625,4.025703125,3.163671875,4.33140625,3.657734375,1.04125,1.695546875,1.166640625,0.975546875,5.17234375,6.918984375,0.86953125,0.003125,2.905859375,2.386953125,1.3184375,5.003125,3.87375,1.378125,1.451796875,1.852421875,5.468046875,1.179765625,4.384765625,2.33109375,1.073046875,1.091328125,1.444453125,0.790390625,0.698203125,1.201171875,2.187109375,3.129453125,4.09640625,9.083359375,5.73796875,0.025078125,0.327421875,1.30921875,3.5728125,5.803515625,2.4003125,0.19796875,0.28703125,0.1259375,1.7909375,7.19546875,10.754296875,7.894140625,0.71328125,1.187578125,1.227109375,3.193046875,26.38765625,2.64765625,25.33375
15,12.577109375,9.46375,20.516015625,20.496015625,3.4596875,5.6746875,2.633515625,0.436953125,2.860390625,7.21453125,15.240390625,24.487578125,3.013984375,3.9921875,4.99078125,6.67109375,6.699296875,4.161484375,1.65140625,0.1565625,1.897265625,4.166953125,0.60609375,2.870546875,3.84609375,2.884609375,2.643125,0.924296875,1.637265625,4.523671875,1.41890625,4.262265625,5.3875,5.372421875,1.704765625,3.047421875,1.574609375,2.13375,0.462890625,0.134765625,5.6859375,2.17625,5.00390625,2.815859375,0.481015625,0.09265625,0.73125,3.449296875,1.3690625,0.335078125,2.71625,5.01,1.375625,6.432265625,3.792421875,1.151953125,2.98140625,4.62140625,6.77,5.78125,2.088125,1.012578125,1.01703125,1.58171875,0.683984375,4.5565625,8.42640625,6.4871875,1.82859375,3.552890625,8.29796875,2.893828125,23.229765625,12.142109375,23.603671875
16,11.188671875,6.963515625,26.64359375,31.505390625,8.551953125,14.79125,5.1728125,2.98765625,3.350625,7.073046875,14.306640625,23.1746875,4.285,4.251875,0.1096875,4.2703125,9.653359375,5.79734375,0.117578125,0.898828125,2.0278125,4.026640625,0.271484375,3.266875,3.101796875,1.701953125,1.350859375,1.108515625,4.08953125,5.78375,0.675546875,2.36421875,3.91078125,3.38328125,1.778984375,4.06421875,1.055234375,0.813203125,0.32796875,0.0728125,6.52640625,3.29015625,3.2340625,1.94375,0.839921875,0.33234375,1.269375,3.252578125,1.8625,1.421640625,3.141015625,4.670703125,0.780703125,6.765703125,4.681875,0.926484375,2.165546875,0.218203125,7.300546875,6.905078125,2.140703125,0.013828125,0.658125,2.138125,0.3740625,5.32671875,9.523046875,7.171953125,0.596484375,4.15734375,15.668515625,0.9365625,26.37453125,4.391484375,23.32171875
17,7.756484375,10.98265625,10.7715625,13.070625,6.023984375,7.16296875,0.063046875,0.53359375,2.71109375,6.517578125,14.0934375,22.338828125,1.981953125,1.465234375,0.990234375,2.16484375,3.07921875,0.4775,0.7675,0.1759375,1.644453125,4.9696875,2.4128125,1.430859375,5.72453125,2.9984375,3.62234375,0.19421875,3.988359375,3.6715625,3.544375,4.0746875,6.146015625,16.17671875,2.90234375,2.83921875,0.8746875,2.364609375,1.065703125,0.491171875,2.36703125,5.981640625,0.582578125,0.711640625,0.16796875,0.6725,1.861875,2.634140625,1.760625,1.211484375,3.59203125,6.142890625,0.797578125,7.023671875,3.7025,0.834765625,0.345703125,1.0171875,3.01125,5.3925,4.270859375,1.358359375,0.52703125,1.126796875,1.505859375,6.420390625,10.6446875,7.976484375,2.129609375,9.86328125,5.41171875,2.13234375,26.8140625,3.32890625,22.8090625
18,1.626328125,10.310625,17.59078125,25.4659375,6.03796875,12.003984375,0.173203125,1.106875,5.2209375,8.509453125,16.1234375,24.70359375,4.967421875,0.85015625,8.84890625,7.302890625,33.2234375,4.672265625,0.723359375,1.264296875,3.07515625,2.276796875,4.929609375,3.265390625,1.659765625,1.077265625,0.524296875,2.99453125,5.543828125,7.138046875,1.756484375,0.69078125,2.535,3.007109375,0.12015625,5.27140625,4.20453125,1.029296875,0.544765625,1.18578125,2.088984375,4.07140625,5.595234375,3.112890625,1.484375,0.928984375,0.500859375,2.166484375,1.22796875,1.28953125,3.22390625,3.906171875,1.68109375,8.4971875,6.115703125,0.142890625,0.8359375,0.535859375,4.074609375,3.043828125,0.68109375,1.2809375,0.819921875,0.409296875,1.658984375,7.37703125,10.78734375,9.188125,0.987421875,5.5396875,5.337421875,1.331796875,25.567109375,4.238828125,25.100546875
19,8.523828125,6.115,14.4465625,16.45640625,8.342109375,7.117578125,2.76703125,0.69109375,4.177109375,7.674296875,14.0353125,12.988515625,3.539453125,6.0396875,0.524375,3.834765625,2.540625,0.73671875,0.35734375,0.270234375,1.66640625,3.119765625,1.4903125,2.261796875,2.3621875,2.17375,2.56703125,1.67703125,4.40140625,6.1721875,2.19984375,3.53671875,4.982109375,5.889921875,0.756796875,4.0903125,2.27578125,0.49671875,0.03484375,1.28484375,7.071484375,5.078359375,2.73140625,1.245078125,0.142265625,0.298203125,1.448203125,4.066953125,1.25703125,1.101015625,3.9159375,6.598203125,0.108671875,7.3115625,4.95328125,0.393828125,2.144296875,4.219921875,5.314296875,5.26734375,3.2675,0.00984375,0.116640625,1.418671875,0.8890625,6.40484375,9.651796875,7.497109375,0.003984375,2.385,1.905546875,3.941484375,22.4465625,7.150234375,24.232109375
20,11.058125,2.285,7.733203125,10.186640625,3.504921875,4.37703125,3.0940625,0.789140625,4.333828125,8.92671875,17.043828125,25.701015625,1.3,4.208671875,0.78171875,7.488671875,22.42390625,2.7946875,0.45453125,2.08578125,4.55375,5.0446875,0.433515625,3.48265625,4.25640625,2.53046875,2.4765625,1.17515625,5.48578125,7.25625,0.570390625,2.8446875,5.19625,3.308515625,0.19140625,4.240078125,0.957578125,0.496171875,0.9253125,0.1928125,8.064296875,3.322421875,5.814921875,4.67953125,3.20703125,1.528671875,1.251796875,1.103671875,0.58484375,1.14171875,2.70921875,4.068515625,1.732421875,8.81234375,5.85109375,0.54296875,0.895,0.053671875,4.226640625,3.42109375,0.29203125,1.995625,0.63515625,0.44265625,3.14515625,8.928203125,12.761953125,10.57171875,0.802890625,1.87703125,1.22734375,3.54453125,20.639296875,6.9965625,24.743359375
21,3.61640625,24.255234375,32.97375,24.9115625,8.483984375,9.89265625,2.343359375,3.30625,3.54265625,6.7184375,13.953828125,21.059609375,0.9009375,1.790546875,0.777109375,7.001875,15.791171875,6.101953125,1.194140625,0.037109375,1.256953125,1.665234375,2.8109375,4.45640625,4.352421875,4.876640625,5.379921875,0.368125,2.496015625,4.9965625,1.247109375,4.126875,5.91234375,5.0853125,2.443515625,2.1140625,0.3115625,2.631015625,1.0859375,1.802890625,10.953125,12.893671875,2.1834375,0.152109375,2.171875,1.801015625,1.832109375,3.39390625,2.443671875,0.371953125,5.688359375,6.333515625,0.376640625,6.029765625,3.762734375,1.080625,1.981875,0.627265625,6.29140625,5.765859375,3.02734375,1.400078125,1.828203125,2.64546875,0.995390625,4.18609375,7.2428125,5.886484375,2.5953125,3.309921875,6.20984375,0.24421875,19.65625,12.284140625,22.27046875
22,14.687109375,31.342734375,31.053203125,9.36125,2.883203125,3.412578125,0.1415625,3.000625,5.71015625,9.212734375,15.79546875,23.236953125,4.75140625,1.611875,1.927890625,3.4984375,35.613203125,33.97921875,0.958984375,1.215625,2.83375,5.027265625,1.50953125,0.7840625,4.143828125,2.653828125,3.24921875,1.928359375,5.1471875,8.0746875,0.542578125,1.6603125,2.604609375,3.35203125,2.861484375,5.020859375,4.30265625,1.786484375,1.901875,0.903203125,4.82625,1.097421875,5.563125,4.098125,1.958984375,1.3775,0.605,1.529609375,1.9184375,1.360859375,1.155703125,2.425625,4.44,9.762265625,6.641875,1.14515625,0.2825,1.047890625,3.73546875,3.421640625,0.169453125,2.250625,1.21671875,0.099921875,2.5603125,7.485625,11.432109375,9.8015625,0.24703125,1.711953125,0.989453125,0.427109375,22.271953125,16.314765625,24.2625
23,12.383125,0.557265625,4.776875,9.351640625,1.970390625,2.33734375,1.15875,1.65296875,4.9046875,9.888515625,18.37109375,28.718203125,7.09875,0.23078125,3.5778125,3.296875,0.17921875,11.081015625,2.75875,4.533046875,7.25640625,5.77328125,3.46640625,1.766953125,0.811328125,5.269453125,3.45984375,1.10515625,4.426640625,7.9446875,1.03,2.643046875,4.245234375,4.426328125,1.916640625,1.657890625,4.67484375,3.12765625,2.049921875,2.948125,0.13953125,0.32125,4.71296875,2.59203125,1.893828125,1.18359375,0.339453125,4.309296875,0.3584375,0.719296875,4.188828125,1.9646875,5.10578125,10.063046875,8.6709375,3.02328125,2.1059375,3.698125,2.165625,2.522890625,2.334140625,1.32546875,0.277109375,0.175546875,4.560859375,8.425703125,11.7565625,10.47796875,3.111796875,4.56859375,2.011484375,3.8265625,24.966015625,1.578359375,26.499609375
24,2.039765625,19.82265625,27.030625,22.1021875,8.82265625,10.669765625,1.818828125,1.570390625,5.033203125,8.68953125,15.59078125,24.206640625,3.698671875,4.27515625,1.438359375,16.55265625,36.194296875,10.547890625,1.53421875,0.490703125,1.997734375,2.783359375,0.48671875,5.83015625,6.896640625,1.61,3.04734375,0.143359375,3.277578125,5.438671875,1.614375,3.3571875,11.111640625,5.5715625,3.294765625,2.741171875,2.564609375,4.913984375,0.643671875,0.4540625,6.30578125,3.10625,3.43015625,0.8784375,0.07484375,0.575625,1.648671875,4.956640625,1.64140625,1.46640625,2.655390625,6.120625,3.253984375,5.1015625,3.8790625,0.608984375,0.992890625,0.086484375,4.677109375,4.938828125,2.552421875,0.156796875,1.247265625,0.887890625,0.899140625,4.703515625,8.458046875,7.53984375,0.813828125,0.9534375,3.081640625,0.076640625,25.40359375,3.406640625,22.76953125
25,9.38453125,15.80203125,8.766328125,15.752265625,4.38109375,5.07796875,3.351640625,0.998046875,3.071484375,8.89671875,16.735390625,24.788359375,4.5375,3.723125,0.461796875,7.459296875,36.29546875,6.267578125,0.438671875,0.31953125,2.836875,4.779921875,1.299609375,8.050625,5.1646875,1.71265625,0.6428125,1.49984375,2.58375,5.29671875,2.271328125,2.18125,3.41046875,5.166640625,1.260703125,4.678359375,3.10921875,0.448125,0.14265625,0.4075,3.8615625,1.510703125,5.844375,3.569765625,1.978671875,1.087421875,1.36734375,3.03,0.701875,0.065625,2.706015625,3.999375,2.835078125,8.0390625,4.284765625,0.420703125,2.046328125,2.144765625,5.7440625,4.764609375,0.98078125,0.572109375,0.132734375,0.376796875,1.582421875,6.407890625,10.62609375,8.84421875,0.06984375,5.09484375,3.22546875,0.098359375,25.291796875,14.1459375,22.98390625
26,11.06890625,37.3003125,44.292890625,14.4896875,4.128359375,7.121484375,1.347578125,1.507890625,6.45515625,10.00015625,16.89203125,26.524921875,1.0984375,2.403046875,7.3734375,8.26484375,1.22671875,0.894921875,2.9553125,3.107578125,5.014609375,7.918515625,0.2290625,2.393671875,1.76140625,0.20109375,1.21796875,4.269609375,5.2396875,5.70421875,0.395078125,1.643828125,2.948359375,4.86046875,0.266328125,5.480703125,1.6946875,0.72484375,2.503125,1.062890625,5.475234375,2.685390625,5.92828125,4.1221875,2.73484375,1.0246875,0.1746875,3.28546875,0.383671875,2.537265625,2.506953125,4.035625,2.7671875,9.15109375,6.8284375,1.786796875,0.67359375,1.6946875,4.67640625,5.58296875,3.7403125,0.4009375,0.90234375,0.795,2.7690625,7.015390625,11.217890625,9.105078125,1.153515625,0.582265625,5.6828125,4.050234375,23.986875,21.929765625,25.127734375
